project_name,donor_number,chain_donated,token,amount,amountUSD,qf_eligible,badgeholder
Wake: Solidity static analysis and fuzzing framework,Donor 67,42161,ETH,0.0045,10.38438,FALSE,FALSE
Vyper,Donor 67,42161,ETH,0.0025,5.7691,FALSE,FALSE
Solidity-Wake: VS Code extension,Donor 67,42161,ETH,0.003,6.92292,FALSE,FALSE
SEAL Intel,Donor 68,1,USDC,45,44.991045,FALSE,FALSE
DeFiScan,Donor 69,8453,USDC,1,0.999795,TRUE,FALSE
DeFiScan,Donor 69,8453,USDC,1,0.999795,TRUE,FALSE
rotki,Donor 70,1,USDC,20,19.994,TRUE,FALSE
CORE3. The open risk layer for Web3,Donor 71,1,FINN,30,69.4608,TRUE,TRUE
Protocol Guild,Donor 72,100,XDAI,5,4.999555,FALSE,FALSE
Assertions.eth On-chain Transaction Guards for Ethereum,Donor 72,100,XDAI,5,4.999555,FALSE,FALSE
Blockscout Open-Source Block Explorer,Donor 72,100,XDAI,5,4.999555,FALSE,FALSE
SEAL 911,Donor 72,100,XDAI,5,4.999555,FALSE,FALSE
rotki,Donor 72,100,XDAI,5,4.999555,FALSE,FALSE
Dappnode,Donor 72,100,XDAI,5,4.999555,FALSE,FALSE
Revoke.cash,Donor 72,100,XDAI,5,4.999555,FALSE,FALSE
Vyper,Donor 73,1,USDC,1.5,1.499619,TRUE,FALSE
Verifereum,Donor 73,1,USDC,1.5,1.499619,TRUE,FALSE
EVMcrispr,Donor 1,100,USDC,0.025,0.024995,FALSE,FALSE
CORE3. The open risk layer for Web3,Donor 74,1,USDC,21,20.994162,TRUE,FALSE
CORE3. The open risk layer for Web3,Donor 75,1,ETH,0.00432,9.9974304,TRUE,FALSE
Defimon - real-time DeFi security,Donor 1,10,USDC,0.5,0.4998795,FALSE,FALSE
Open-Source AI Security Triage by HackenProof,Donor 71,1,FINN,5,11.5825,TRUE,TRUE
CORE3. The open risk layer for Web3,Donor 76,1,ETH,0.005,11.549,TRUE,FALSE
Safe Multisig Transaction Hashes,Donor 77,1,FINN,4.18,9.68297,TRUE,TRUE
Sourcify,Donor 77,1,FINN,4.18,9.68297,TRUE,TRUE
Dappnode,Donor 77,1,FINN,4.18,9.68297,TRUE,TRUE
SEAL Intel,Donor 77,1,FINN,4.18,9.68297,TRUE,TRUE
Blockscout Open-Source Block Explorer,Donor 77,1,FINN,4.18,9.68297,TRUE,TRUE
EVMcrispr,Donor 77,1,FINN,4.18,9.68297,TRUE,TRUE
WEBCAT,Donor 77,1,FINN,4.18,9.68297,TRUE,TRUE
SEAL 911,Donor 77,1,FINN,4.18,9.68297,TRUE,TRUE
Anticapture by blockful,Donor 77,1,FINN,4.18,9.68297,TRUE,TRUE
Colibri: Trustless Blockchain Data for Wallets and dApp,Donor 77,1,FINN,4.18,9.68297,TRUE,TRUE
Rekt News - Ethereum's Security Intelligence Layer,Donor 78,1,USDC,5.8,5.7989038,TRUE,FALSE
Revoke.cash,Donor 68,1,USDC,45,44.99253,FALSE,FALSE
CORE3. The open risk layer for Web3,Donor 79,1,DAI,10,9.99616,TRUE,FALSE
CORE3. The open risk layer for Web3,Donor 80,8453,ETH,0.005,11.575,FALSE,FALSE
