id,project_name,transactionNetworkId,userId,currency,amount,amountUSD,createdAt,projectId,score,mbdScore,isBadgeholder,isQfEligible,isSelfDonation
238691408,tanuki42,1,Donor 84,USDC,23,22.983118,2026-05-13T16:10:15.324Z,16858,17.438,3,FALSE,TRUE,FALSE
238691409,BlockThreat,1,Donor 3379,ETH,0.008922,20.01320586,2026-05-13T16:10:15.474Z,16730,0,7,FALSE,FALSE,FALSE
238691410,human.tech,1,Donor 3379,ETH,0.008922,20.01320586,2026-05-13T16:10:15.495Z,16899,0,7,FALSE,FALSE,FALSE
238691411,Bluechip,1,Donor 3379,ETH,0.008922,20.01320586,2026-05-13T16:10:15.529Z,16882,0,7,FALSE,FALSE,FALSE
238691412,Grego AI,1,Donor 84,USDC,25,24.98165,2026-05-13T16:10:15.623Z,16801,17.438,3,FALSE,TRUE,FALSE
238691413,Fight Human Trafficking and Crypto Fraud With dobs,1,Donor 84,USDC,12,11.991192,2026-05-13T16:10:15.629Z,16931,17.438,3,FALSE,TRUE,FALSE
238691414,human.tech,1,Donor 3380,ETH,0.005,11.21565,2026-05-13T16:14:41.891Z,16899,64.467,1,FALSE,TRUE,FALSE
238691416,yAudit,1,Donor 127,USDC,2,1.996638,2026-05-13T16:17:32.909Z,16744,0,56,FALSE,TRUE,FALSE
238691417,Dappnode,1,Donor 3381,TIK,10,12.565858,2026-05-13T16:19:50.054Z,2242,16,51,TRUE,TRUE,FALSE
238691418,Blobscan,1,Donor 3381,TIK,10,12.565858,2026-05-13T16:19:50.085Z,16831,16,51,TRUE,TRUE,FALSE
238691419,SEAL 911,1,Donor 3381,TIK,10,12.565858,2026-05-13T16:19:50.080Z,14585,16,51,TRUE,TRUE,FALSE
238691420,Revoke.cash,1,Donor 3381,TIK,10,12.565858,2026-05-13T16:19:50.181Z,2955,16,51,TRUE,TRUE,FALSE
238691421,SEAL Safe Harbor,1,Donor 3381,TIK,10,12.565858,2026-05-13T16:19:50.205Z,16747,16,51,TRUE,TRUE,FALSE
238691422,Protocol Guild,1,Donor 3381,TIK,10,12.565858,2026-05-13T16:19:50.258Z,2821,16,51,TRUE,TRUE,FALSE
238691423,snekmate,1,Donor 3381,TIK,10,12.565858,2026-05-13T16:19:50.271Z,16209,16,51,TRUE,TRUE,FALSE
238691424,Safe Multisig Transaction Hashes,1,Donor 3381,TIK,10,12.565858,2026-05-13T16:19:50.282Z,16199,16,51,TRUE,TRUE,FALSE
238691425,eth.limo,1,Donor 3381,TIK,10,12.565858,2026-05-13T16:19:50.281Z,2795,16,51,TRUE,TRUE,FALSE
238691426,Zodiac,1,Donor 3381,TIK,80,100.526864,2026-05-13T16:19:50.303Z,16900,16,51,TRUE,TRUE,FALSE
238691427,Blockscout Open-Source Block Explorer,1,Donor 3381,TIK,10,12.565858,2026-05-13T16:19:50.292Z,3452,16,51,TRUE,TRUE,FALSE
238691428,BuidlGuidl,1,Donor 3381,TIK,10,12.565858,2026-05-13T16:19:50.320Z,16970,16,51,TRUE,TRUE,FALSE
